id	split_type	membership	class
1	train	1	0
21	train	1	0
34	train	1	0
37	train	1	0
51	train	1	0
56	train	1	0
63	train	1	0
68	train	1	0
69	train	1	0
75	train	1	0
81	train	1	0
88	train	1	0
95	train	1	0
108	train	1	0
114	train	1	0
118	train	1	0
119	train	1	0
121	train	1	0
156	train	1	0
169	train	1	0
192	train	1	0
206	train	1	0
209	train	1	0
210	train	1	0
216	train	1	0
229	train	1	0
232	train	1	0
234	train	1	0
246	train	1	0
249	train	1	0
260	train	1	0
283	train	1	0
293	train	1	0
296	train	1	0
303	train	1	0
320	train	1	0
326	train	1	0
359	train	1	0
399	train	1	0
427	train	1	0
429	train	1	0
435	train	1	0
440	train	1	0
451	train	1	0
453	train	1	0
458	train	1	0
462	train	1	0
464	train	1	0
473	train	1	0
489	train	1	0
519	train	1	0
524	train	1	0
526	train	1	0
527	train	1	0
542	train	1	0
577	train	1	0
582	train	1	0
596	train	1	0
603	train	1	0
612	train	1	0
633	train	1	0
639	train	1	0
656	train	1	0
662	train	1	0
666	train	1	0
667	train	1	0
668	train	1	0
669	train	1	0
689	train	1	0
702	train	1	0
709	train	1	0
712	train	1	0
733	train	1	0
743	train	1	0
745	train	1	0
776	train	1	0
781	train	1	0
787	train	1	0
790	train	1	0
818	train	1	0
825	train	1	0
849	train	1	0
859	train	1	0
860	train	1	0
869	train	1	0
872	train	1	0
889	train	1	0
903	train	1	0
927	train	1	0
943	train	1	0
949	train	1	0
952	train	1	0
957	train	1	0
965	train	1	0
979	train	1	0
984	train	1	0
997	train	1	0
1000	train	1	0
1015	train	1	0
1018	train	1	0
1028	train	1	0
1029	train	1	0
1040	train	1	0
1046	train	1	0
1049	train	1	0
1076	train	1	0
1078	train	1	0
1090	train	1	0
1093	train	1	0
1102	train	1	0
1107	train	1	0
1128	train	1	0
1137	train	1	0
1152	train	1	0
1168	train	1	0
1179	train	1	0
1195	train	1	0
1209	train	1	0
1268	train	1	0
1304	train	1	0
1310	train	1	0
1346	train	1	0
1349	train	1	0
1359	train	1	0
1363	train	1	0
1367	train	1	0
1368	train	1	0
1371	train	1	0
1372	train	1	0
1377	train	1	0
1386	train	1	0
1387	train	1	0
1403	train	1	0
1423	train	1	0
1443	train	1	0
1454	train	1	0
1471	train	1	0
1479	train	1	0
1489	train	1	0
1495	train	1	0
1501	train	1	0
1502	train	1	0
1512	train	1	0
1517	train	1	0
1530	train	1	0
1532	train	1	0
1571	train	1	0
1578	train	1	0
1590	train	1	0
1596	train	1	0
1600	train	1	0
1605	train	1	0
1606	train	1	0
1625	train	1	0
1626	train	1	0
1645	train	1	0
1664	train	1	0
1678	train	1	0
1682	train	1	0
1701	train	1	0
1709	train	1	0
1712	train	1	0
1723	train	1	0
1725	train	1	0
1729	train	1	0
1742	train	1	0
1769	train	1	0
1771	train	1	0
1775	train	1	0
1796	train	1	0
1797	train	1	0
1798	train	1	0
1819	train	1	0
1828	train	1	0
1837	train	1	0
1857	train	1	0
1868	train	1	0
1876	train	1	0
1877	train	1	0
1897	train	1	0
1904	train	1	0
1907	train	1	0
1916	train	1	0
1926	train	1	0
1927	train	1	0
1930	train	1	0
1956	train	1	0
1963	train	1	0
1969	train	1	0
1995	train	1	0
1999	train	1	0
2009	train	1	0
2051	train	1	0
2058	train	1	0
2066	train	1	0
2079	train	1	0
2081	train	1	0
2082	train	1	0
2084	train	1	0
2100	train	1	0
2101	train	1	0
2112	train	1	0
2121	train	1	0
2144	train	1	0
2147	train	1	0
2160	train	1	0
2191	train	1	0
2192	train	1	0
2195	train	1	0
2218	train	1	0
2245	train	1	0
2253	train	1	0
2257	train	1	0
2269	train	1	0
2278	train	1	0
2298	train	1	0
2310	train	1	0
2325	train	1	0
2327	train	1	0
2333	train	1	0
2340	train	1	0
2352	train	1	0
2353	train	1	0
2373	train	1	0
2396	train	1	0
2403	train	1	0
2404	train	1	0
2411	train	1	0
2435	train	1	0
2436	train	1	0
2440	train	1	0
2473	train	1	0
2483	train	1	0
2493	train	1	0
2500	train	1	0
2525	train	1	0
2526	train	1	0
2528	train	1	0
2532	train	1	0
2538	train	1	0
2539	train	1	0
2557	train	1	0
2561	train	1	0
2581	train	1	0
2582	train	1	0
2584	train	1	0
2586	train	1	0
2597	train	1	0
2606	train	1	0
2615	train	1	0
2617	train	1	0
2621	train	1	0
2624	train	1	0
2629	train	1	0
2642	train	1	0
2709	train	1	0
2718	train	1	0
2729	train	1	0
2736	train	1	0
2745	train	1	0
2746	train	1	0
2765	train	1	0
2770	train	1	0
2782	train	1	0
2806	train	1	0
2817	train	1	0
2826	train	1	0
2839	train	1	0
2854	train	1	0
2864	train	1	0
2873	train	1	0
2882	train	1	0
2890	train	1	0
2897	train	1	0
2899	train	1	0
2904	train	1	0
2914	train	1	0
2919	train	1	0
2935	train	1	0
2944	train	1	0
2952	train	1	0
2955	train	1	0
2974	train	1	0
2975	train	1	0
2996	train	1	0
3001	train	1	0
3012	train	1	0
3015	train	1	0
3016	train	1	0
3021	train	1	0
3024	train	1	0
3035	train	1	0
3049	train	1	0
3067	train	1	0
3106	train	1	0
3107	train	1	0
3128	train	1	0
3131	train	1	0
3135	train	1	0
3143	train	1	0
3160	train	1	0
3175	train	1	0
3195	train	1	0
3198	train	1	0
3213	train	1	0
3231	train	1	0
3241	train	1	0
3247	train	1	0
3248	train	1	0
3259	train	1	0
3262	train	1	0
3269	train	1	0
3286	train	1	0
3309	train	1	0
3328	train	1	0
3337	train	1	0
3367	train	1	0
3369	train	1	0
3376	train	1	0
3377	train	1	0
3391	train	1	0
3396	train	1	0
3409	train	1	0
3410	train	1	0
3429	train	1	0
3434	train	1	0
3441	train	1	0
3443	train	1	0
3461	train	1	0
3479	train	1	0
3490	train	1	0
3492	train	1	0
3514	train	1	0
3516	train	1	0
3529	train	1	0
3534	train	1	0
3541	train	1	0
3562	train	1	0
3565	train	1	0
3568	train	1	0
3585	train	1	0
3590	train	1	0
3603	train	1	0
3610	train	1	0
3612	train	1	0
3622	train	1	0
3632	train	1	0
3661	train	1	0
3667	train	1	0
3673	train	1	0
3677	train	1	0
3691	train	1	0
3693	train	1	0
3698	train	1	0
3702	train	1	0
3709	train	1	0
3715	train	1	0
3720	train	1	0
3734	train	1	0
3743	train	1	0
3776	train	1	0
3777	train	1	0
3778	train	1	0
3806	train	1	0
3809	train	1	0
3829	train	1	0
3849	train	1	0
3876	train	1	0
3881	train	1	0
3882	train	1	0
3884	train	1	0
3888	train	1	0
3896	train	1	0
3906	train	1	0
3929	train	1	0
3937	train	1	0
3943	train	1	0
3953	train	1	0
3964	train	1	0
4002	train	1	0
4008	train	1	0
4009	train	1	0
4023	train	1	0
4027	train	1	0
4044	train	1	0
4047	train	1	0
4067	train	1	0
4082	train	1	0
4106	train	1	0
4108	train	1	0
4115	train	1	0
4123	train	1	0
4142	train	1	0
4145	train	1	0
4159	train	1	0
4181	train	1	0
4201	train	1	0
4203	train	1	0
4216	train	1	0
4218	train	1	0
4220	train	1	0
4239	train	1	0
4245	train	1	0
4265	train	1	0
4270	train	1	0
4279	train	1	0
4284	train	1	0
4288	train	1	0
4289	train	1	0
4310	train	1	0
4316	train	1	0
4321	train	1	0
4325	train	1	0
4340	train	1	0
4343	train	1	0
4344	train	1	0
4347	train	1	0
4356	train	1	0
4374	train	1	0
4389	train	1	0
4415	train	1	0
4444	train	1	0
4453	train	1	0
4455	train	1	0
4465	train	1	0
4485	train	1	0
4488	train	1	0
4496	train	1	0
4500	train	1	0
4505	train	1	0
4527	train	1	0
4532	train	1	0
4535	train	1	0
4539	train	1	0
4556	train	1	0
4563	train	1	0
4565	train	1	0
4588	train	1	0
4597	train	1	0
4607	train	1	0
4608	train	1	0
4624	train	1	0
4629	train	1	0
4642	train	1	0
4653	train	1	0
4655	train	1	0
4656	train	1	0
4682	train	1	0
4686	train	1	0
4688	train	1	0
4713	train	1	0
4718	train	1	0
4729	train	1	0
4738	train	1	0
4744	train	1	0
4748	train	1	0
4749	train	1	0
4756	train	1	0
4773	train	1	0
4776	train	1	0
4793	train	1	0
4804	train	1	0
4849	train	1	0
4852	train	1	0
4854	train	1	0
4855	train	1	0
4870	train	1	0
4889	train	1	0
4892	train	1	0
4906	train	1	0
4911	train	1	0
4918	train	1	0
4926	train	1	0
4931	train	1	0
4951	train	1	0
4962	train	1	0
4981	train	1	0
4985	train	1	0
4994	train	1	0
5007	train	1	0
5010	train	1	0
5015	train	1	0
5019	train	1	0
5048	train	1	0
5052	train	1	0
5053	train	1	0
5072	train	1	0
5074	train	1	0
5082	train	1	0
5083	train	1	0
5096	train	1	0
5108	train	1	0
5115	train	1	0
5120	train	1	0
5131	train	1	0
5133	train	1	0
5144	train	1	0
5147	train	1	0
5154	train	1	0
5167	train	1	0
5187	train	1	0
5192	train	1	0
5194	train	1	0
5196	train	1	0
5202	train	1	0
5203	train	1	0
5228	train	1	0
5244	train	1	0
5246	train	1	0
5249	train	1	0
5266	train	1	0
5268	train	1	0
5272	train	1	0
5275	train	1	0
5285	train	1	0
5286	train	1	0
5288	train	1	0
5298	train	1	0
5317	train	1	0
5319	train	1	0
5321	train	1	0
5327	train	1	0
5330	train	1	0
5340	train	1	0
5342	train	1	0
5344	train	1	0
5353	train	1	0
5368	train	1	0
5373	train	1	0
5393	train	1	0
5398	train	1	0
5461	train	1	0
5462	train	1	0
5464	train	1	0
5468	train	1	0
5469	train	1	0
5470	train	1	0
5475	train	1	0
5487	train	1	0
5488	train	1	0
5498	train	1	0
5502	train	1	0
5505	train	1	0
5512	train	1	0
5514	train	1	0
5525	train	1	0
5541	train	1	0
5560	train	1	0
5563	train	1	0
5583	train	1	0
5585	train	1	0
5604	train	1	0
5608	train	1	0
5612	train	1	0
5615	train	1	0
5622	train	1	0
5627	train	1	0
5641	train	1	0
5646	train	1	0
5662	train	1	0
5665	train	1	0
5674	train	1	0
5690	train	1	0
5692	train	1	0
5694	train	1	0
5697	train	1	0
5698	train	1	0
5711	train	1	0
5729	train	1	0
5730	train	1	0
5747	train	1	0
5767	train	1	0
5773	train	1	0
5801	train	1	0
5808	train	1	0
5809	train	1	0
5830	train	1	0
5844	train	1	0
5881	train	1	0
5883	train	1	0
5884	train	1	0
5886	train	1	0
5888	train	1	0
5905	train	1	0
5921	train	1	0
5927	train	1	0
5929	train	1	0
5932	train	1	0
5938	train	1	0
5961	train	1	0
5978	train	1	0
5981	train	1	0
6001	train	1	0
6008	train	1	0
6023	train	1	0
6034	train	1	0
6045	train	1	0
6065	train	1	0
6076	train	1	0
6094	train	1	0
6097	train	1	0
6103	train	1	0
6113	train	1	0
6117	train	1	0
6133	train	1	0
6137	train	1	0
6146	train	1	0
6179	train	1	0
6207	train	1	0
6227	train	1	0
6228	train	1	0
6245	train	1	0
6279	train	1	0
6292	train	1	0
6296	train	1	0
6302	train	1	0
6316	train	1	0
